,X,Y,S_02_ID_x,DNAME_2002,D_02_ID_x,C_02_ID_x,SNAME_2002_x,CNAME_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NAM,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UTM200,DNAME_2010,DNAME_2006,CNAME_2006,SNAME_2006,PNAME_2006,FID_2,D_02_ID_y,PNAME_2002,P_02_ID,YPE,LABEL_P,DTW,DEPTH_clean,uid
11098,33.375,3.311003089,305108,4,305,3051,43,5,14103,17852,0,77,1091,1092,983,2,275,596,1,0,0,1,7,148,41,,541997,369190,6,10,0,569190,4,4,6,40,245,494,305,236,30510804,3,236,3.5,148,11098
11099,33.375,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1091,1092,983,2,275,596,1,0,0,1,7,148,41,,541997,369190,6,10,0,569190,4,4,6,40,245,494,305,236,30510804,3,236,3.5,148,11099
4467,33.075,3.561003089,305203,4,305,3052,40,13,10298,13036,0,95,745,746,839,3,309,857,0,0,0,1,7,134.1,33,0.45,507508,389109,6,10,0,589109,14,4,12,37,147,362,305,140,30520303,3,140,3.5,134.1,4467
4468,33.025,3.511003089,305203,4,305,3052,40,13,10298,13036,0,95,745,746,839,3,309,857,0,0,0,1,7,134.1,33,0.45,507508,389109,6,10,0,589109,14,4,12,37,147,362,305,140,30520303,3,140,3.5,134.1,4468
4469,33.075,3.511003089,305107,4,305,3051,42,5,15060,19064,0,95,745,746,839,3,309,857,0,0,0,1,7,134.1,33,0.45,507508,389109,6,10,0,589109,14,4,12,37,147,362,305,140,30520303,3,140,3.5,134.1,4469
7639,32.825,3.411003089,305206,4,305,3052,58,13,11869,15024,0,95,867,868,1203,3,156,119,1,0,0,1,7,128.4,,35.7,484169,376893,6,10,0,576893,14,4,12,52,17,417,305,15,30520501,3,15,16,128.4,7639
7640,32.875,3.411003089,305205,4,305,3052,57,13,12667,16035,0,94,867,868,1203,3,156,119,1,0,0,1,7,128.4,,35.7,484169,376893,6,10,0,576893,14,4,12,52,17,417,305,15,30520501,3,15,3.5,128.4,7640
4344,32.875,3.561003089,305209,4,305,3052,66,13,9954,12600,0,83,622,623,1605,3,939,1019,1,69,0,1,7,418,112,1,488365,393067,6,10,0,593067,14,4,12,61,203,308,305,194,30520902,3,194,3.5,127.406,4344
4345,32.925,3.561003089,305209,4,305,3052,66,13,9954,12600,0,83,622,623,1605,3,939,1019,1,69,0,1,7,418,112,1,488365,393067,6,10,0,593067,14,4,12,61,203,308,305,194,30520902,3,194,3.5,127.406,4345
4306,32.975,3.611003089,305209,4,305,3052,66,13,9954,12600,0,83,637,638,848,3,77,298,1,0,0,1,7,123.3,48,1.31,501742,399913,1,1,0,599913,14,4,12,37,237,312,305,228,30520304,3,228,3.5,123.3,4306
