,X,Y,S_02_ID_x,DNAE_2002,D_02_ID_x,C_02_ID_x,SNAE_2002_x,CNAE_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NA,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UT200,DNAE_2010,DNAE_2006,CNAE_2006,SNAE_2006,PNAE_2006,FID_2,D_02_ID_y,PNAE_2002,P_02_ID,FTYPE,LABEL_P,DTW,DEPTH_clean,uid,geometry
11682,32.875,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,4199,3450,207,2,914,988,87,116,0,4,7,54.22,18,2,485081,354977,6,16,2,554977,4,4,5,22,77,5218,305,72,30510401,3,72,16,54.22,11682,POINT (32.86571735320148 3.211545659764906)
11681,32.825,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,4199,3450,207,2,914,988,87,116,0,4,7,54.22,18,2,485081,354977,6,16,2,554977,4,4,5,22,77,5218,305,72,30510401,3,72,16,54.22,11681,POINT (32.86571735320148 3.211545659764906)
11678,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4220,3471,194,2,72,83,52,79,0,16,7,,,,488679,360709,99999,4,0,560709,4,4,5,22,99,5246,305,94,30510403,3,94,16,,11678,POINT (32.89809694000883 3.263406876987474)
11677,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4220,3471,194,2,72,83,52,79,0,16,7,,,,488679,360709,99999,4,0,560709,4,4,5,22,99,5246,305,94,30510403,3,94,3.5,,11677,POINT (32.89809694000883 3.263406876987474)
11676,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4218,3469,192,2,71,82,52,113,0,16,7,,,,488642,360543,2,4,0,560543,4,4,5,22,99,5246,305,94,30510403,3,94,16,,11676,POINT (32.89776404615536 3.261905040223212)
11675,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4218,3469,192,2,71,82,52,113,0,16,7,,,,488642,360543,2,4,0,560543,4,4,5,22,99,5246,305,94,30510403,3,94,3.5,,11675,POINT (32.89776404615536 3.261905040223212)
11674,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4217,3468,191,2,72,243,79,113,3,4,7,77.52,20.24,6.1,488831,360409,6,16,19,560409,4,4,5,22,99,5246,305,94,30510403,3,94,16,77.52,11674,POINT (32.89946539697448 3.260692913626749)
11673,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4217,3468,191,2,72,243,79,113,3,4,7,77.52,20.24,6.1,488831,360409,6,16,19,560409,4,4,5,22,99,5246,305,94,30510403,3,94,3.5,77.52,11673,POINT (32.89946539697448 3.260692913626749)
11672,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4216,3467,190,2,72,242,79,113,0,4,7,82.16,25.2,1.7,489027,360371,6,16,19,560371,4,4,5,22,99,5246,305,94,30510403,3,94,16,82.16,11672,POINT (32.90122966744399 3.260349302808457)
11671,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4216,3467,190,2,72,242,79,113,0,4,7,82.16,25.2,1.7,489027,360371,6,16,19,560371,4,4,5,22,99,5246,305,94,30510403,3,94,3.5,82.16,11671,POINT (32.90122966744399 3.260349302808457)
11670,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4215,3466,189,2,72,59,58,113,0,4,7,70,,1.07,489513,360127,6,10,0,560127,4,4,5,22,99,5246,305,94,30510403,3,94,16,70,11670,POINT (32.90560445958175 3.258142254463261)
11669,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4215,3466,189,2,72,59,58,113,0,4,7,70,,1.07,489513,360127,6,10,0,560127,4,4,5,22,99,5246,305,94,30510403,3,94,3.5,70,11669,POINT (32.90560445958175 3.258142254463261)
11668,32.825,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,1432,1433,252,2,665,629,58,115,0,4,7,45.59,15,3,479588,355349,6,10,15,555349,4,4,5,22,98,571,305,93,30510402,3,93,16,45.59,11668,POINT (32.81627561127723 3.214903410735105)
11667,32.775,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,1432,1433,252,2,665,629,58,115,0,4,7,45.59,15,3,479588,355349,6,10,15,555349,4,4,5,22,98,571,305,93,30510402,3,93,3.5,45.59,11667,POINT (32.81627561127723 3.214903410735105)
11666,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1432,1433,252,2,665,629,58,115,0,4,7,45.59,15,3,479588,355349,6,10,15,555349,4,4,5,22,98,571,305,93,30510402,3,93,3.5,45.59,11666,POINT (32.81627561127723 3.214903410735105)
11662,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1425,1426,225,2,492,848,99999,0,0,4,7,,,,483827,360865,5,9,0,560865,4,4,5,22,98,571,305,93,30510402,3,93,3.5,,11662,POINT (32.85442279165447 3.264812810707192)
11661,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1425,1426,225,2,492,848,99999,0,0,4,7,,,,483827,360865,5,9,0,560865,4,4,5,22,98,571,305,93,30510402,3,93,3.5,,11661,POINT (32.85442279165447 3.264812810707192)
